StudentID,School,AssessmentDate,AgeAtTest,AgeOfEntry,Parents,StudentRating,Ethnicity,TaskPercent,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13,Answer14,Answer15,Answ RW1,Answ RW2,Answ RW3,Answ RW4,Answ RW5,Answ RW6,Answ RW7,Answ RW8,Answ RW9,Answ RW10,Answ RW11,Answ RW12,Answ RW13,Answ RW14,Answ RW15,ANG3,ANT4,RITLS,ROPL,ROPLA,ROPLAB,ROPLB,STXD4,STXS,SVOC,SYN4,VOCDA2,VST2
10000,HSDB,02/03/2015,18,4,HP,2,Latino,0.066666667,C,A,B,D,A,C,B,D,D,C,C,B,D,A,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.5,0.53,,0.304347826,0.355555556,0.409090909,0.222222222,0.2,,0.285714286,0.44,0
10004,HSDB,02/03/2015,19,12,HP,1,Filipino,0.733333333,B,D,A,A,C,C,D,C,A,B,B,C,B,D,D,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.791666667,0.785714286,0.86,,0.695652174,0.777777778,0.863636364,0.777777778,0.6,,0.928571429,0.68,0.733333333
10005,HSDB,02/03/2015,14,5,HP,1,Micronesian,0.6,B,C,B,A,A,A,C,C,C,C,B,C,A,D,D,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0.5,0.071428571,0.71,,0.608695652,0.688888889,0.772727273,0.407407407,0.85,,0.571428571,,0.4
10009,HSDB,02/03/2015,11,6,HP,4,Filipino,0.266666667,A,A,A,D,A,A,A,A,A,B,A,A,A,A,B,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0.166666667,0.214285714,0.22,,0.347826087,0.288888889,0.227272727,0.296296296,0.1,0.740740741,0.214285714,0.36,0.333333333
10012,HSDB,02/03/2015,19,,HP,1,Micronesian,0.533333333,D,A,B,A,B,A,D,C,A,A,B,C,C,D,A,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0.708333333,0.857142857,0.78,,0.739130435,0.733333333,0.727272727,0.407407407,0.5,,0.857142857,0.52,0.6
10013,HSDB,02/03/2015,16,8,HP,1,Filipino,0.8,B,D,B,A,C,A,A,C,A,B,B,C,B,D,D,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0.75,1,0.93,,0.782608696,0.755555556,0.727272727,0.777777778,0.7,,1,0.8,1
10014,HSDB,02/03/2015,16,10,HP,4,Hawaiian,0.133333333,B,D,B,C,A,D,C,A,B,D,D,B,D,C,A,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.291666667,0.428571429,0.69,,0.434782609,0.533333333,0.636363636,0.222222222,0.45,,0.142857143,0.36,0.133333333
10016,HSDB,02/03/2015,11,9,HP,2,Samoan,0.2,C,A,A,B,D,A,A,C,B,D,D,D,C,A,A,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.375,0.214285714,0.55,,0.47826087,0.377777778,0.272727273,0.37037037,0.45,0.888888889,0.285714286,0.24,0.266666667
10018,HSDB,02/03/2015,10,10,HP,1,Micronesian,0.6,B,C,B,A,C,D,B,C,A,A,B,C,A,D,D,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0.375,0.285714286,0.68,,0.434782609,0.511111111,0.590909091,0.185185185,0.35,0.925925926,0.5,0.48,0.4
10019,HSDB,02/03/2015,18,15,HP,4,Filipino,0,D,C,B,D,A,D,B,B,C,D,D,D,D,C,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.285714286,,,0.391304348,0.377777778,0.363636364,,0.5,0.888888889,0.071428571,,
10022,HSDB,02/03/2015,18,8,HP,2,Filipino,0.6,D,A,B,A,B,A,D,C,A,B,B,A,B,D,C,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0.708333333,0.928571429,0.87,,0.652173913,0.711111111,0.772727273,0.592592593,0.6,,0.857142857,0.68,0.6
10023,HSDB,02/03/2015,15,8,HP,1,Hawaiian,0.533333333,D,A,D,A,A,C,A,C,C,B,B,A,B,B,D,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0.5,0.5,0.85,,0.565217391,0.622222222,0.681818182,0.481481481,0.5,,0.642857143,0.84,0.8
10026,HSDB,02/03/2015,12,5,HP,2,Micronesian,0.2,A,B,A,D,B,A,A,A,A,A,A,C,A,B,A,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.208333333,0.071428571,0.11,,0.173913043,0.2,0.227272727,0.222222222,0.35,0.222222222,0.285714286,0.24,0.2
10027,HSDB,02/03/2015,8,6,HP,3,Hawaiian,0.4,B,B,B,D,A,B,D,A,A,B,B,C,A,B,D,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0.333333333,0.285714286,0.19,,0.304347826,0.311111111,0.318181818,0.296296296,0.15,0.740740741,0.214285714,0.4,0.333333333
10028,HSDB,02/03/2015,12,8,HP,4,Micronesian,0.4,D,C,D,A,C,D,D,D,B,C,A,D,B,D,D,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0.416666667,0.285714286,0.63,,0.260869565,0.355555556,0.454545455,0.111111111,0.4,0.62962963,0.571428571,0.24,0.266666667
10030,HSDB,02/03/2015,9,7,HP,4,Hawaiian,0.133333333,D,D,D,D,D,A,B,D,D,C,C,D,C,A,A,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.125,0.285714286,0.41,,0.52173913,0.444444444,0.363636364,0.333333333,0.35,0.814814815,0.071428571,0.16,0
10033,HSDB,02/03/2015,8,8,HP,1,Samoan,0.2,C,A,B,B,B,A,D,C,D,D,C,A,A,A,B,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.333333333,0.5,0.61,,,0.133333333,0.272727273,0.259259259,0.15,0.777777778,0.428571429,0.32,0.2
10034,HSDB,02/03/2015,9,9,HP,3,Samoan/Hawaiian,0.133333333,D,C,A,A,B,C,B,A,B,A,C,A,B,B,C,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0.214285714,0.66,,0.347826087,0.377777778,0.409090909,0.296296296,0.4,0.962962963,0.285714286,0.48,0.533333333
10036,HSDB,02/03/2015,18,18,HP,3,Japanese,0.8,B,A,D,A,C,C,D,C,A,A,B,C,B,D,D,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0.875,1,0.96,,0.782608696,0.8,0.818181818,0.925925926,0.95,,1,0.84,0.8
10037,HSDB,02/03/2015,11,9,HP,2,Filipino/Japanese,0.266666667,D,B,D,A,C,C,B,A,C,D,C,D,C,B,D,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.208333333,0,0.47,,0.434782609,0.533333333,0.636363636,0.259259259,0.1,0.814814815,0.071428571,0.24,0.266666667
10039,HSDB,02/03/2015,14,14,HP,1,Micronesian,0.333333333,B,D,B,B,A,A,C,A,B,A,D,C,D,D,A,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0.541666667,0.071428571,0.75,,0.652173913,0.644444444,0.636363636,0.444444444,0.6,,0.428571429,0.48,0.8
10040,HSDB,02/03/2015,18,15,HP,1,Filipino,0.666666667,C,A,B,A,B,A,D,C,A,D,B,C,B,D,D,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0.75,0.642857143,0.88,,0.652173913,0.622222222,0.590909091,0.703703704,0.7,,0.928571429,0.72,0.866666667
10043,HSDB,02/03/2015,19,5,HP,1,Mexican,0.6,C,A,D,A,D,C,A,B,A,B,B,C,B,D,C,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0.625,0.642857143,0.77,,0.782608696,0.733333333,0.681818182,0.555555556,0.75,,0.642857143,0.56,0.6
10044,HSDB,02/03/2015,16,8,HP,1,Micronesian,0.933333333,B,A,D,A,C,A,D,C,A,B,B,C,B,D,D,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.5,0.714285714,0.85,,0.782608696,0.577777778,0.363636364,0.592592593,0.85,,0.642857143,0.64,0.6
10045,HSDB,02/03/2015,16,8,HP,1,Filipino,0.666666667,B,B,B,A,C,C,D,C,A,D,B,C,B,D,D,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0.916666667,0.928571429,0.88,,0.782608696,0.8,0.818181818,0.740740741,0.9,,0.785714286,0.92,0.866666667
10046,HSDB,02/03/2015,9,8,HP,3,Hawaiian,0.266666667,D,D,D,B,A,C,C,D,A,A,B,A,A,A,A,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0.375,0.071428571,0.6,,0.52173913,0.6,0.681818182,0.296296296,0.7,0.814814815,0.285714286,0.32,0.666666667
10047,HSDB,02/03/2015,17,14,HP,1,Micronesian,0.333333333,B,C,B,A,A,C,C,B,C,B,B,B,A,C,B,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0.416666667,0.357142857,0.7,,0.52173913,0.622222222,0.727272727,0.259259259,0.75,,0.428571429,0.36,0.733333333
10049,HSDB,02/03/2015,13,13,HP,1,Filipino,0.466666667,B,B,C,B,C,A,C,A,D,D,B,D,D,D,D,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0.625,0.642857143,0.79,,0.608695652,0.666666667,0.727272727,0.407407407,0.8,0.851851852,0.571428571,0.44,0.533333333
10050,HSDB,02/03/2015,14,7,HP,1,Micronesian,0.6,B,A,D,A,C,A,D,C,A,D,D,D,D,C,D,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0.666666667,0.714285714,0.87,,0.652173913,0.666666667,0.681818182,0.703703704,0.9,,0.857142857,0.52,0.533333333
10051,HSDB,02/03/2015,17,16,HP,1,Filipino,0.6,B,A,C,A,B,A,A,C,A,D,B,C,B,A,B,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0.75,0.142857143,0.91,,0.695652174,0.688888889,0.681818182,0.666666667,0.75,,0.857142857,0.76,0.866666667
10053,HSDB,02/03/2015,19,12,HP,2,Micronesian,0.533333333,B,A,C,B,B,B,B,C,A,D,D,C,B,D,D,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0.458333333,0.357142857,0.57,,0.565217391,0.622222222,0.681818182,0.259259259,0.6,,0.642857143,0.4,0.2
10054,HSDB,02/03/2015,14,9,HP,1,Micronesian,0.333333333,D,C,C,A,A,A,B,A,B,B,B,B,C,D,A,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0.583333333,0.428571429,0.7,,0.347826087,0.555555556,0.772727273,0.333333333,0.65,,0.714285714,0.52,0.666666667
10058,HSDB,02/03/2015,15,4,HP,1,Filipino,0.666666667,A,A,D,A,D,A,A,D,A,A,B,C,B,D,D,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0.708333333,0.714285714,0.85,,0.739130435,0.711111111,0.681818182,0.481481481,0.75,,0.642857143,0.6,0.6
10060,HSDB,02/03/2015,17,,XX,,,0.733333333,D,A,D,A,B,A,C,C,A,A,B,C,B,D,C,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0.791666667,0.285714286,0.76,,0.608695652,0.711111111,0.818181818,0.444444444,0.75,,0.5,0.6,0.466666667
